time,cD,cL
0.522,2.82215,0.0502842
0.523,2.78488,0.0573587
0.524,2.77725,0.0470294
0.525,2.78171,0.0590023
0.526,2.79247,0.0511573
0.527,2.79185,0.0509601
0.528,2.79508,0.0557441
0.529,2.82312,0.0357421
0.53,2.81311,0.0458282
0.531,2.81825,0.0492867
0.532,2.81858,0.0489619
0.533,2.81061,0.0526819
0.534,2.80919,0.0533562
0.535,2.82259,0.0468678
0.536,2.81711,0.0479047
0.537,2.8254,0.0473713
0.538,2.81964,0.046736
0.539,2.82531,0.0482442
0.54,2.82563,0.048503
0.541,2.81916,0.0462857
0.542,2.82484,0.0485074
0.543,2.82487,0.0488162
0.544,2.82167,0.0459535
0.545,2.83623,0.0453233
0.546,2.83612,0.0455611
0.547,2.83499,0.0430222
0.548,2.84117,0.044371
0.549,2.84609,0.0403688
0.55,2.84546,0.0401538
0.551,2.85061,0.0428676
0.552,2.84803,0.0414842
0.553,2.85252,0.0442769
0.554,2.85082,0.0432385
0.555,2.85527,0.0460903
0.556,2.85531,0.0461599
0.557,2.85322,0.0447285
0.558,2.86456,0.0527403
0.559,2.86468,0.052781
0.56,2.86498,0.052921
0.561,2.86078,0.0513411
0.562,2.8641,0.0542228
0.563,2.8612,0.0531548
0.564,2.86435,0.0557835
0.565,2.86453,0.0728838
0.566,2.85563,0.0743115
0.567,2.85742,0.0721442
0.568,2.86856,0.0747596
0.569,2.89689,0.081241
0.57,2.89565,0.0732118
0.571,2.89566,0.0803675
0.572,2.90176,0.0720129
0.573,2.95489,0.0666867
0.574,2.94262,0.0651309
0.575,2.93649,0.0794088
0.576,2.9347,0.0766739
0.577,2.93315,0.0733023
0.578,2.93532,0.0748384
0.579,2.92924,0.0714724
0.58,2.93167,0.0748369
0.581,2.91506,0.0713706
0.582,2.91518,0.0712295
0.583,2.91821,0.0743326
0.584,2.88402,0.07269
0.585,2.87136,0.073975
0.586,2.87095,0.0759608
0.587,2.86513,0.0732886
0.588,2.86305,0.0751361
0.589,2.85205,0.0711144
0.59,2.84959,0.0726822
0.591,2.83892,0.0696107
0.592,2.83735,0.0707371
0.593,2.83125,0.0683221
0.594,2.8303,0.0692333
0.595,2.82611,0.0667687
0.596,2.82569,0.0674312
0.597,2.82411,0.065371
0.598,2.82431,0.0669721
0.599,2.82306,0.0635041
0.6,2.82283,0.0633942
0.601,2.82349,0.0655056
0.602,2.82424,0.0632012
0.603,2.82401,0.0632156
0.604,2.82465,0.0635226
0.605,2.82672,0.0634488
